#{"t_start": 1741909845.5149643, "env_id": "None"}
r,l,t
-108.188135,518,6002.541906
-145.112257,669,6013.772735
-165.193115,746,6026.726978
-177.263155,785,6040.036665
-194.087772,860,6054.790342
-97.547315,434,6062.288956
-58.705905,276,6067.147605
-171.668741,786,6080.575444
-109.36253,487,6088.968659
-79.644039,379,6096.047601
-95.268141,445,6103.581507
-151.256999,693,6115.469747
-181.271266,784,6128.822805
-180.05729,750,6141.603579
-173.467467,799,6155.812255
-133.602103,589,6167.111127
-153.26488,702,6178.434793
-203.196249,927,6192.394433
-150.23477,683,6202.966786
-182.079477,853,6216.209157
-101.717629,480,6223.891327
-213.321183,970,6239.374189
-173.658662,691,6250.809568
-101.808794,492,6258.7927
-140.605451,634,6268.147342
-202.440661,930,6283.011462
-107.252016,493,6291.119693
-198.48785,916,6306.091578
-99.050813,479,6313.917571
-87.084806,392,6320.516365
-64.589702,280,6325.211704
-18.681088,78,6327.79843
-200.330597,895,6342.566472
-190.769042,861,6357.220405
-128.825376,556,6367.271586
-76.60505,372,6373.364371
-231.933629,751,6386.3204
-92.432897,447,6393.808642
-109.95653,521,6402.588602
-150.444696,678,6413.968543
-112.398169,543,6423.153213
-83.526485,400,6430.027002
-293.073954,921,6445.476834
-186.129069,881,6460.039712
-164.704117,770,6472.695328
-179.330347,766,6485.316545
-66.85251,306,6490.384336
-76.241178,332,6498.059519
-197.830568,906,6513.243052
-217.287738,980,6528.523335
-110.893238,521,6536.673476
-79.626279,374,6542.748431
-142.510644,684,6553.921257
-172.842031,745,6567.244283
-56.272705,259,6571.62061
-57.136257,263,6575.823264
-199.20163,910,6590.687175
-170.909872,743,6603.261342
-74.580928,342,6608.960716
-63.400913,305,6614.364432
-120.392541,547,6623.566335
-89.874093,425,6630.246846
-66.963862,319,6635.477012
-156.902358,710,6647.476145
-189.208767,909,6663.515576
-12.208168,58,6665.771361
-89.096546,400,6672.634288
-115.240656,533,6681.998659
-109.750375,503,6690.428065
-146.03011,671,6702.191389
-119.678707,570,6712.067262
-100.364043,470,6720.364983
-102.328302,477,6728.708761
-199.724993,900,6744.22213
-206.34493,942,6760.979746
-137.778201,652,6772.194968
-151.413982,726,6784.539566
-193.541283,889,6799.687877
-66.061895,292,6804.623573
-92.607066,381,6810.978868
-61.562316,294,6816.063699
-83.532866,392,6822.985873
-175.577227,803,6839.062873
-21.233865,105,6841.979263
-168.417091,797,6856.557637
-119.186773,536,6867.526581
-101.290156,479,6877.176199
-108.54008,501,6889.344673
-126.243796,564,6903.038505
-150.394237,654,6919.081915
-192.610556,875,6940.65952
-143.305369,645,6956.567452
-57.947473,272,6963.172655
-148.496208,687,6980.072835
-120.557231,572,6994.183417
-89.684047,419,7005.311321
-117.518477,517,7018.145548
-145.052518,660,7034.506582
-143.501641,651,7050.516244
-121.782784,569,7064.620184
-130.080619,602,7081.718873
-117.19986,559,7095.881154
-197.777287,790,7115.531721
-127.55073,612,7130.499538
-108.171586,472,7142.391257
-121.882078,530,7155.715833
-196.732167,930,7178.93638
-152.04459,709,7196.33367
-185.792554,848,7217.089961
-115.389503,534,7230.043406
-101.251399,486,7241.803897
-214.502497,953,7265.034448
-82.324805,359,7273.840971
-54.018114,256,7280.128692
-147.652996,664,7296.195987
-211.35111,968,7319.825907
-72.724735,330,7331.541984
-108.213925,510,7344.297439
-69.256102,319,7352.178555
-102.978913,472,7363.826202
-151.01371,684,7380.494858
-58.040415,260,7386.845806
-119.863146,557,7400.521817
-104.095833,499,7412.849656
-112.125255,515,7425.77571
-182.954286,834,7447.350964
-190.420048,787,7466.892723
-99.55611,462,7478.317051
-188.685553,843,7498.995762
-154.51403,700,7516.222346
-123.007568,558,7529.859388
-102.146659,463,7541.00589
-213.892665,980,7564.498678
-120.590538,557,7579.76083
-100.593601,481,7591.468925
